doors,class,buying,maint,safety,persons,repaired_weights
1,0,2,2,2,1,7.001522055425916
2,0,2,2,2,1,1.0003147376309964
0,0,2,2,2,1,1.0003147534064847
1,2,2,0,2,0,5.001171315631068
2,2,2,0,2,0,3.000779428622857
1,0,1,0,2,2,7.216283944508908
2,0,1,0,2,2,0.9079247040915644
0,0,1,0,2,2,1.8333205921662992
1,2,1,0,2,2,0.7269867685480564
2,2,1,0,2,2,0.0914666401416658
0,2,1,0,2,2,0.18469337172157083
1,1,2,1,0,1,4.004420213258424
2,1,2,1,0,1,1.0021450516520043
1,3,2,1,0,1,3.9963496019219003
2,3,2,1,0,1,1.0001253027785155
1,2,3,1,0,0,7.001522055425916
2,2,3,1,0,0,5.001171315631068
1,0,0,0,2,1,2.212267299923547
2,0,0,0,2,1,1.3287082537105765
0,0,0,0,2,1,0.4415568434752565
1,2,0,0,2,1,2.7858562683610444
2,2,0,0,2,1,1.6732111067910231
0,2,0,0,2,1,0.5560421655537606
1,2,2,3,1,1,5.001171315631068
1,0,2,1,2,1,4.026638250489802
2,0,2,1,2,1,1.0067431667691427
1,1,2,1,2,1,3.9795556612397887
2,1,2,1,2,1,0.9949715418918682
1,2,0,2,1,1,8.001686070382132
2,2,0,2,1,1,2.0005601746711346
1,2,3,2,2,0,6.001350872244742
2,2,3,2,2,0,2.000559987737693
1,2,3,3,1,2,9.001843818239681
2,2,3,3,1,2,2.0005601746711346
1,0,3,1,2,1,3.624798248682903
2,0,3,1,2,1,1.3569100550449282
1,2,3,1,2,1,4.372264585502397
2,2,3,1,2,1,1.636717238412031
1,2,2,1,1,0,6.001350872244742
2,2,2,1,1,0,4.000981689864035
1,0,1,1,2,2,1.5631139898949666
2,0,1,1,2,2,0.44955212829800556
1,2,1,1,2,2,0.7815775123796943
2,2,1,1,2,2,0.22478196496965777
1,1,1,1,2,2,4.6383305099352645
2,1,1,1,2,2,1.3339854712906025
1,0,1,3,2,1,4.5165616660469725
2,0,1,3,2,1,1.5056548160479184
1,2,1,3,2,1,4.481695180291683
2,2,1,3,2,1,1.4940316176776267
1,0,0,1,0,2,5.411858645018134
2,0,0,1,0,2,2.7497784601550763
0,0,0,1,0,2,1.833200018409743
1,2,0,1,0,2,0.5414386521211028
2,2,0,1,0,2,0.27510628801595693
0,2,0,1,0,2,0.1834056305128838
1,0,2,0,2,2,4.912044773387055
2,0,2,0,2,2,2.089091672925609
1,2,2,0,2,2,2.104943651722384
2,2,2,0,2,2,0.8952321197509474
1,2,3,0,2,2,8.001686070382132
2,2,3,0,2,2,3.000779428622857
1,2,3,2,1,2,7.001522055425916
2,2,3,2,1,2,3.00077915104696
1,0,3,2,2,1,4.792644176806784
2,0,3,2,2,1,0.6015637074387704
0,0,3,2,2,1,0.6015637074203338
1,2,3,2,2,1,3.1934528147312937
2,2,3,2,2,1,0.40083620729809527
0,2,3,2,2,1,0.4008362072858106
1,0,1,3,2,2,2.8544283294794335
2,0,1,3,2,2,1.4153733326503475
0,0,1,3,2,2,0.7201716769002333
1,2,1,3,2,2,1.1458738551707346
2,2,1,3,2,2,0.5681835765292033
0,2,1,3,2,2,0.2891037365597266
1,2,0,3,2,0,9.001843818239681
2,2,0,3,2,0,3.000779428622857
1,0,0,2,2,1,4.351458168134245
2,0,0,2,2,1,1.6347941424805006
1,2,0,2,2,1,3.6476035373398252
2,2,0,2,2,1,1.3703638335769788
1,2,1,3,1,1,9.001843818239681
2,2,1,3,1,1,3.000779428622857
1,2,0,1,1,2,8.001686070382132
2,2,0,1,1,2,4.0009815200461345
1,0,2,3,0,1,5.001171315819495
2,0,2,3,0,1,3.000778078949091
0,0,2,3,0,1,1.0060978415025712
1,2,2,0,1,1,8.001686070382132
2,2,2,0,1,1,2.0005601746711346
1,2,1,2,2,0,6.001350872244742
2,2,1,2,2,0,2.0005601746711346
1,2,3,2,1,0,6.001350872244742
2,2,3,2,1,0,4.000981689864035
1,0,0,2,0,1,8.001686070382132
2,0,0,2,0,1,2.0005601746711354
0,0,0,2,0,1,1.000314753406485
1,0,2,3,2,2,4.4740076009109035
2,0,2,3,2,2,0.5581012992930369
1,2,2,3,2,2,3.532266361166806
2,2,2,3,2,2,0.44062563622263734
1,0,2,1,2,2,2.930934988363945
2,0,2,1,2,2,1.081873321366028
1,2,2,1,2,2,0.727779711870226
