doors,class,buying,maint,safety,persons,repaired_weights
0,0,2,2,2,1,3.002974738359988
1,0,2,2,2,1,6.005624159103244
1,2,2,0,2,0,3.0029161461004006
3,2,2,0,2,0,1.001027031688674
2,2,2,0,2,0,4.003830605523253
0,0,1,0,2,2,0.9187954785781559
1,0,1,0,2,2,8.187907672034257
2,0,1,0,2,2,0.895288084237486
0,2,1,0,2,2,0.09125838442191807
1,2,1,0,2,2,0.8132552274876195
2,2,1,0,2,2,0.08892353746248562
1,1,2,1,0,1,2.484534609366391
3,1,2,1,0,1,2.484534264955457
1,3,2,1,0,1,2.484534953777371
3,3,2,1,0,1,2.48453460936639
1,2,3,1,0,0,2.001984681863189
2,2,3,1,0,0,10.009117961313168
1,0,0,0,2,1,2.2148336513589815
2,0,0,0,2,1,1.7758308874935673
1,2,0,0,2,1,2.77043652837237
2,2,0,0,2,1,2.2213075712956543
1,2,2,3,1,1,2.0019846818672304
2,2,2,3,1,1,3.0029161461004006
1,0,2,1,2,1,5.004732401289129
1,1,2,1,2,1,5.00473242047482
1,2,0,2,1,1,4.003829475993895
2,2,0,2,1,1,6.005624159103244
1,2,3,2,2,0,3.0029161461004006
2,2,3,2,2,0,5.004816250606464
1,2,3,3,1,2,4.003830605523253
2,2,3,3,1,2,7.00650751833683
0,0,3,1,2,1,0.44995759022027065
1,0,3,1,2,1,2.704148417731561
2,0,3,1,2,1,1.806270262624134
0,2,3,1,2,1,0.5457312491598179
1,2,3,1,2,1,3.279727525431368
2,2,3,1,2,1,2.190735634128422
1,2,2,1,1,0,3.0029161460943268
2,2,2,1,1,0,7.00650751833683
0,0,1,1,2,2,0.21825653689273572
1,0,1,1,2,2,1.5424379078781532
2,0,1,1,2,2,0.21756813086197155
0,2,1,1,2,2,0.10912499982990156
1,2,1,1,2,2,0.7711958543425388
2,2,1,1,2,2,0.1087808071241089
0,1,1,1,2,2,0.663950010062795
1,1,1,1,2,2,4.692192403658639
2,1,1,1,2,2,0.6618558359429253
0,0,1,3,2,1,0.9966071442214051
1,0,1,3,2,1,3.48759080474769
2,0,1,3,2,1,1.494904517955805
0,2,1,3,2,1,0.9998015298931557
1,2,1,3,2,1,3.4987694423484865
2,2,1,3,2,1,1.4996960765960192
0,0,0,1,0,2,0.9250266044465776
1,0,0,1,0,2,8.184503537884815
2,0,0,1,0,2,0.8949018271580801
0,2,0,1,0,2,0.09156297233249808
1,2,0,1,0,2,0.8101361273202813
2,2,0,1,0,2,0.08858109685331703
0,0,2,0,2,2,0.7024749403540914
1,0,2,0,2,2,4.8780263597192
2,0,2,0,2,2,1.3829478541256843
0,2,2,0,2,2,0.30219429458104985
1,2,2,0,2,2,2.098454549823607
