doors,class,buying,maint,safety,persons,repaired_weights
0,0,2,2,2,1,3.0019034884314335
1,0,2,2,2,1,4.002480414718493
2,0,2,2,2,1,2.001309563068541
1,2,2,0,2,0,2.001309563068541
2,2,2,0,2,0,5.003044700798296
3,2,2,0,2,0,1.0006894605907266
1,0,1,0,2,2,4.586315859257752
2,0,1,0,2,2,5.415801046888996
1,2,1,0,2,2,0.45740015998006317
2,2,1,0,2,2,0.5401259619454399
1,1,2,1,0,1,1.9895504164779838
2,1,2,1,0,1,0.9947778789337319
3,1,2,1,0,1,1.9895503590500105
1,3,2,1,0,1,1.989550484141632
2,3,2,1,0,1,0.9947779127656468
3,3,2,1,0,1,1.9895504267136566
2,2,3,1,0,0,11.006264454667532
3,2,3,1,0,0,1.0006894605907266
1,0,0,0,2,1,1.3307061204828132
2,0,0,0,2,1,2.6670415882415077
1,2,0,0,2,1,1.6637506903380994
2,2,0,0,2,1,3.3345396217064587
1,2,2,3,1,1,1.0006893807801662
2,2,2,3,1,1,4.002480414718493
1,0,2,1,2,1,3.4910727328633095
2,0,2,1,2,1,1.4959618632881198
1,1,2,1,2,1,3.518316217664648
2,1,2,1,2,1,1.507635986803858
1,2,0,2,1,1,4.002480414718493
2,2,0,2,1,1,6.003598913952942
1,2,3,2,2,0,2.001309563068541
2,2,3,2,2,0,5.003044700798296
3,2,3,2,2,0,1.0006894605907266
2,2,3,3,1,2,10.005742638936521
3,2,3,3,1,2,1.0006894605907266
1,0,3,1,2,1,1.3575720814086538
2,0,3,1,2,1,3.6264058521339706
1,2,3,1,2,1,1.6340874928782283
2,2,3,1,2,1,4.3650458993850965
1,2,2,1,1,0,1.0006894605907266
2,2,2,1,1,0,9.005215812443137
0,0,1,1,2,2,0.2185160414590321
1,0,1,1,2,2,0.22068881118045539
2,0,1,1,2,2,1.5425519974121427
0,2,1,1,2,2,0.11118391278176429
1,2,1,1,2,2,0.11228944735757197
2,2,1,1,2,2,0.7848712872357361
0,1,1,1,2,2,0.6655823780074817
1,1,1,1,2,2,0.6722004607275948
2,1,1,1,2,2,4.698489958826442
0,0,1,3,2,1,0.9982509224606789
1,0,1,3,2,1,1.9963442260191453
2,0,1,3,2,1,3.0019280195555065
0,2,1,3,2,1,0.9982346074593612
1,2,1,3,2,1,1.9963115985925681
2,2,1,3,2,1,3.0018789572821913
1,0,0,1,0,2,6.401782605798116
2,0,0,1,0,2,3.599848662484137
1,2,0,1,0,2,0.6380496985705144
2,2,0,1,0,2,0.35878793383536317
1,0,2,0,2,2,4.212337454043312
2,0,2,0,2,2,2.7862703474224113
1,2,2,0,2,2,1.8033011815540776
2,2,2,0,2,2,1.1928020165651865
1,2,3,0,2,2,1.000689375481542
2,2,3,0,2,2,10.005742638936521
1,2,3,2,1,2,2.0013093628910896
2,2,3,2,1,2,8.00468341621394
0,0,3,2,2,1,0.6017212801993527
1,0,3,2,2,1,2.397038821437569
2,0,3,2,2,1,3.002221621123246
0,2,3,2,2,1,0.4010493412743833
1,2,3,2,2,1,1.597634772079472
2,2,3,2,2,1,2.000991228218298
1,0,1,3,2,2,2.1454194572422014
2,0,1,3,2,2,2.8364602736815496
1,2,1,3,2,2,0.8624046910176841
2,2,1,3,2,2,1.1401857280872596
1,2,0,3,2,0,3.001903488431433
2,2,0,3,2,0,9.005215812443137
1,0,0,2,2,1,2.7315524008096053
2,0,0,2,2,1,3.271850863247392
1,2,0,2,2,1,2.270383459773932
2,2,0,2,2,1,2.71946314504611
1,2,1,3,1,1,1.0006894605907266
2,2,1,3,1,1,11.006264454667532
1,2,0,1,1,2,1.0006892145571007
2,2,0,1,1,2,11.006264454667532
0,0,2,3,0,1,1.0006894605907266
1,0,2,3,0,1,4.0024804147186135
2,0,2,3,0,1,4.002373317364936
1,2,2,0,1,1,1.0006894605907266
2,2,2,0,1,1,9.005215812443137
1,2,1,2,2,0,1.0006894605907266
2,2,1,2,2,0,6.003598913952942
3,2,1,2,2,0,1.0006894605907266
1,2,3,2,1,0,3.001903488431433
2,2,3,2,1,0,7.00414475053849
0,0,0,2,0,1,1.0006894605907266
1,0,0,2,0,1,6.003598913952942
2,0,0,2,0,1,4.002480414718493
0,0,2,3,2,2,0.5539995625325536
1,0,2,3,2,2,2.209391567882734
2,0,2,3,2,2,2.2047963133343
0,2,2,3,2,2,0.4480426295220657
1,2,2,3,2,2,1.7868274176839118
2,2,2,3,2,2,1.7831110430322938
1,0,2,1,2,2,2.9216300963790016
2,0,2,1,2,2,1.1013281426429038
1,2,2,1,2,2,0.7228709224726008
2,2,2,1,2,2,0.2724910629186089
1,1,2,1,2,2,4.344001389327393
2,1,2,1,2,2,1.6375005814991836
1,2,1,1,1,1,1.000689085282994
2,2,1,1,1,1,6.003598913952942
3,2,1,1,1,1,1.0006894521636762
1,0,2,3,0,2,6.2534024882326396
2,0,2,3,0,2,1.7595879406392003
1,2,2,3,0,2,0.7764207878463334
2,2,2,3,0,2,0.21846997018452113
1,2,1,3,1,2,3.001903201430186
2,2,1,3,1,2,5.003044700798296
3,2,1,3,1,2,1.0006894605907266
1,2,2,0,0,0,1.0006894605907264
2,2,2,0,0,0,6.003598913952942
3,2,2,0,0,0,3.001903488431433
1,0,2,0,0,1,7.004476041367901
2,0,2,0,0,1,4.002480414716884
1,2,2,1,1,1,1.0005523057156798
2,2,2,1,1,1,9.005215812443135
1,2,0,3,1,1,1.0006894605907266
2,2,0,3,1,1,8.00468341621394
2,2,1,2,0,0,8.00468341621394
3,2,1,2,0,0,2.001309563067973
1,0,1,2,2,2,1.4569187234136745
2,0,1,2,2,2,2.544585194711051
1,2,1,2,2,2,0.36436974171206366
2,2,1,2,2,2,0.6363909223355819
1,1,1,2,2,2,2.174204258315434
2,1,1,2,2,2,3.7973621157288826
1,2,3,0,1,2,2.0013095630685416
2,2,3,0,1,2,8.00468341621394
3,2,3,0,1,2,1.0006894605907264
1,2,3,0,0,1,3.001903488431433
2,2,3,0,0,1,8.00468341621394
1,2,2,2,1,0,3.001903488431433
2,2,2,2,1,0,4.002480414718493
1,2,3,3,2,1,2.0013094037878294
2,2,3,3,2,1,7.00414475053849
3,2,3,3,2,1,1.0006894605907266
1,2,1,2,1,0,3.001903488431433
2,2,1,2,1,0,7.00414475053849
1,0,1,0,0,2,1.1855759967192117
2,0,1,0,0,2,0.791738545277918
3,0,1,0,0,2,1.987158746830426
1,2,1,0,0,2,0.29826899737756
2,2,1,0,0,2,0.19918677734595014
