doors,class,buying,maint,safety,persons,repaired_weights
2,0,2,2,2,1,7.001032328674327
1,0,2,2,2,1,1.0002446801501315
0,0,2,2,2,1,1.000244785635067
2,2,2,0,2,0,8.00112638640264
2,0,1,0,2,2,10.001296401277852
2,2,1,0,2,2,1.0002448312893846
2,1,2,1,0,1,4.498580168949663
3,1,2,1,0,1,0.49995238145464005
2,3,2,1,0,1,4.497450161769187
3,3,2,1,0,1,0.49982679743485553
2,2,3,1,0,0,11.001373616549312
1,2,3,1,0,0,1.000244785635067
2,0,0,0,2,1,3.5534235659016673
1,0,0,0,2,1,0.44329869708463326
2,2,0,0,2,1,4.442563285496695
1,2,0,0,2,1,0.5542211559226234
2,2,2,3,1,1,5.0008215049237466
2,0,2,1,2,1,5.000821504923746
2,1,2,1,2,1,5.0008215049237466
2,2,0,2,1,1,9.001214177470645
1,2,0,2,1,1,1.000244785635067
2,2,3,2,2,0,8.00112638640264
2,2,3,3,1,2,10.001296401277852
1,2,3,3,1,2,1.000244506617616
2,0,3,1,2,1,5.000821504923747
2,2,3,1,2,1,6.000931103222444
2,2,2,1,1,0,10.001296401277852
2,0,1,1,2,2,2.0004202439777883
2,2,1,1,2,2,1.000244785635067
2,1,1,1,2,2,6.000931103222444
2,0,1,3,2,1,5.410400145926795
0,0,1,3,2,1,0.4918509763623013
2,2,1,3,2,1,5.59127228728785
0,2,1,3,2,1,0.5082937785443451
2,0,0,1,0,2,7.176656926429825
1,0,0,1,0,2,0.9116113345088815
0,0,0,1,0,2,1.8484210106556795
2,2,0,1,0,2,0.7315915854492382
1,2,0,1,0,2,0.09293006317060014
0,2,0,1,0,2,0.1884288564475097
2,0,2,0,2,2,6.2482801847138205
0,0,2,0,2,2,0.6996671842559945
2,2,2,0,2,2,2.7349395723858465
0,2,2,0,2,2,0.3062518666181008
2,2,3,0,2,2,10.001296482926605
1,2,3,0,2,2,1.0002438833502139
2,2,3,2,1,2,10.002918098219064
2,0,3,2,2,1,6.000931103222444
2,2,3,2,2,1,4.000701838175983
2,0,1,3,2,2,4.996562630593976
2,2,1,3,2,2,2.001654634497995
2,2,0,3,2,0,12.00144627995278
2,0,0,2,2,1,6.000931103222444
2,2,0,2,2,1,5.000821504923746
2,2,1,3,1,1,11.006889779536777
1,2,1,3,1,1,1.0002432253116076
2,2,0,1,1,2,12.02728167928499
2,0,2,3,0,1,9.001214177470645
2,2,2,0,1,1,10.001296401277852
2,2,1,2,2,0,8.00112638640264
2,2,3,2,1,0,10.001296401277852
2,0,0,2,0,1,10.001296401277852
1,0,0,2,0,1,1.000244785635067
2,0,2,3,2,2,4.403304305178352
0,0,2,3,2,2,0.5521919525016571
2,2,2,3,2,2,3.5767435421993525
0,2,2,3,2,2,0.44853793044511286
2,0,2,1,2,2,3.2906000870165055
1,0,2,1,2,2,0.7326639963478266
2,2,2,1,2,2,0.8227066967388538
1,2,2,1,2,2,0.1831786179770391
2,1,2,1,2,2,4.87485687559732
1,1,2,1,2,2,1.085404493299309
2,2,1,1,1,1,8.00112638640264
2,0,2,3,0,2,6.187471908509341
1,0,2,3,0,2,1.7951100082388782
2,2,2,3,0,2,0.7774713556305453
1,2,2,3,0,2,0.2255600723927445
2,2,1,3,1,2,7.001032328674327
1,2,1,3,1,2,2.000420243977482
2,2,2,0,0,0,10.001296401277852
2,0,2,0,0,1,10.001296401277852
1,0,2,0,0,1,1.000244793178459
2,2,2,1,1,1,10.001296401277852
2,2,0,3,1,1,9.001214177470645
2,2,1,2,0,0,9.001214177470645
1,2,1,2,0,0,1.000244785635067
2,0,1,2,2,2,4.000701838175983
2,2,1,2,2,2,1.0002447574009659
2,1,1,2,2,2,6.000931103222444
2,2,3,0,1,2,10.001296401277852
3,2,3,0,1,2,1.000244785635067
2,2,3,0,0,1,10.001296401277852
1,2,3,0,0,1,1.0002447856350667
2,2,2,2,1,0,5.0008215049237466
1,2,2,2,1,0,2.0004202439777883
2,2,3,3,2,1,10.001296401277852
2,2,1,2,1,0,10.001296401277852
2,0,1,0,0,2,3.598068892426961
1,0,1,0,0,2,0.3982923223908209
2,2,1,0,0,2,0.9053581741448247
1,2,1,0,0,2,0.10021965130646132
2,3,1,0,0,2,4.502808278646015
1,3,1,0,0,2,0.4984434762650787
2,0,1,2,2,1,4.331884136418621
0,0,1,2,2,1,0.6245287916712307
2,1,1,2,2,1,2.6377288788206363
0,1,1,2,2,1,0.3802820153006438
2,2,1,1,1,2,10.001296401277852
1,2,1,1,1,2,1.0002446358580883
3,2,1,1,1,2,1.0002447782767914
2,0,0,0,0,1,7.001032328674326
0,0,0,0,0,1,2.0004202439777883
