doors,class,buying,maint,safety,persons,repaired_weights
0,0,2,2,2,1,3.002982771376251
1,0,2,2,2,1,6.005756829355429
1,2,2,0,2,0,3.0029824835254275
3,2,2,0,2,0,1.0010491453783124
2,2,2,0,2,0,4.003919054151083
0,0,1,0,2,2,0.9188157816252246
1,0,1,0,2,2,8.18808854918243
2,0,1,0,2,2,0.8953078618657434
0,2,1,0,2,2,0.09126040161192593
1,2,1,0,2,2,0.8132731983669772
2,2,1,0,2,2,0.0889255024501849
1,1,2,1,0,1,2.4845894584088337
3,1,2,1,0,1,2.4845891139902982
1,3,2,1,0,1,2.4845898028274185
3,3,2,1,0,1,2.484589458408835
1,2,3,1,0,0,5.0048429800122065
2,2,3,1,0,0,7.006662299104786
1,0,0,0,2,1,2.2148825792532296
2,0,0,0,2,1,1.7758701173755551
1,2,0,0,2,1,2.770497729942659
2,2,0,0,2,1,2.2213566420847566
1,2,2,3,1,1,2.0020289077138016
2,2,2,3,1,1,3.0029824835254275
1,0,2,1,2,1,5.004842106969347
1,1,2,1,2,1,5.004842980026125
1,2,0,2,1,1,5.004842979961199
2,2,0,2,1,1,5.00484535234846
1,2,3,2,2,0,4.003919054151083
2,2,3,2,2,0,4.003919439961112
1,2,3,3,1,2,5.004842980026126
2,2,3,3,1,2,6.0057568293554295
0,0,3,1,2,1,0.9013005904087623
1,0,3,1,2,1,2.2570554555044025
2,0,3,1,2,1,1.809099760579582
0,2,3,1,2,1,1.089323571153011
1,2,3,1,2,1,2.727906466770842
2,2,3,1,2,1,2.186501410004455
1,2,2,1,1,0,3.0029824835169845
2,2,2,1,1,0,7.006662299104786
0,0,1,1,2,2,0.2182613598862702
1,0,1,1,2,2,1.5424719923925077
2,0,1,1,2,2,0.2175729386432388
0,2,1,1,2,2,0.10912741125444299
1,2,1,1,2,2,0.77121289608929
2,2,1,1,2,2,0.10878321094274455
0,1,1,1,2,2,0.6639646819102338
1,1,1,1,2,2,4.692296090879256
2,1,1,1,2,2,0.6618704615136974
0,0,1,3,2,1,1.4966199157024676
1,0,1,3,2,1,2.9928749789633162
2,0,1,3,2,1,1.496619977406491
0,2,1,3,2,1,1.4966197880660475
1,2,1,3,2,1,2.992874723721591
2,2,1,3,2,1,1.4966198497700653
0,0,0,1,0,2,2.773596625116874
1,0,0,1,0,2,6.362406363467947
2,0,0,1,0,2,0.8944115976150625
0,2,0,1,0,2,0.2732016404486369
1,2,0,1,0,2,0.6267024699840931
2,2,0,1,0,2,0.08810030755442838
0,0,2,0,2,2,0.7024904589090673
1,0,2,0,2,2,4.878134121456832
2,0,2,0,2,2,1.3829784051831813
0,2,2,0,2,2,0.30220097043307365
1,2,2,0,2,2,2.098500907323734
2,2,2,0,2,2,0.5949367864488552
1,2,3,0,2,2,3.0029807899707373
2,2,3,0,2,2,8.007560595367027
1,2,3,2,1,2,4.0038831227037806
2,2,3,2,1,2,6.0057568293554295
0,0,3,2,2,1,1.2050128098353645
1,0,3,2,2,1,4.200194069353316
2,0,3,2,2,1,0.5977848208481344
0,2,3,2,2,1,0.8002157870885822
1,2,3,2,2,1,2.7892330900545086
2,2,3,2,2,1,0.39697241972884323
0,0,1,3,2,2,0.7177619210820673
1,0,1,3,2,2,2.846649506044028
2,0,1,3,2,2,1.4114472230550599
0,2,1,3,2,2,0.28869009346226276
1,2,1,3,2,2,1.1449472141336847
2,2,1,3,2,2,0.5676963611088907
1,2,0,3,2,0,5.004842980026125
2,2,0,3,2,0,7.006662299104786
0,0,0,2,2,1,0.5449375056262412
1,0,0,2,2,1,4.3507894381614225
2,0,0,2,2,1,1.0859512206804078
0,2,0,2,2,1,0.4557001906557601
1,2,0,2,2,1,3.6383173409853
2,2,0,2,2,1,0.9081191387959537
1,2,1,3,1,1,5.004842934367851
2,2,1,3,1,1,7.006662302162356
1,2,0,1,1,2,5.004840973998999
2,2,0,1,1,2,7.006662299104786
0,0,2,3,0,1,3.0029824835254275
1,0,2,3,0,1,6.005756818764176
1,2,2,0,1,1,2.0020289077081044
2,2,2,0,1,1,8.007560595366554
1,2,1,2,2,0,2.002028907713843
2,2,1,2,2,0,6.0057568293554295
1,2,3,2,1,0,3.0029824835254275
2,2,3,2,1,0,7.006662299104786
0,0,0,2,0,1,1.0010491711083456
1,0,0,2,0,1,10.00933907275286
0,0,2,3,2,2,1.1111614753563022
1,0,2,3,2,2,2.771437538150842
2,0,2,3,2,2,1.1062964938814923
0,2,2,3,2,2,0.8889140626671505
1,2,2,3,2,2,2.217112324449467
2,2,2,3,2,2,0.88502214367654
1,0,2,1,2,2,3.6427767977036636
2,0,2,1,2,2,0.35849945233438696
1,2,2,1,2,2,0.9018387946755709
2,2,2,1,2,2,0.08875336918498643
1,1,2,1,2,2,5.498368905510696
2,1,2,1,2,2,0.5411152949586672
1,2,1,1,1,1,5.003349527592687
2,2,1,1,1,1,3.00298144563777
0,0,2,3,0,2,1.7981041415099963
1,0,2,3,0,2,5.321206539319909
2,0,2,3,0,2,0.8734334398130777
0,2,2,3,0,2,0.22303694746628924
1,2,2,3,0,2,0.6600427839351435
2,2,2,3,0,2,0.1083407371873887
1,2,1,3,1,2,3.002980364577217
2,2,1,3,1,2,6.005756833084381
1,2,2,0,0,0,1.0010491453753998
2,2,2,0,0,0,9.0084526199286
0,0,2,0,0,1,2.00252217155797
1,0,2,0,0,1,9.008452619928597
1,2,2,1,1,1,3.0018478415141066
2,2,2,1,1,1,7.006659472762726
1,2,0,3,1,1,2.002028907713843
2,2,0,3,1,1,7.006662299104786
1,2,1,2,0,0,4.00231631182427
2,2,1,2,0,0,6.005754745706232
0,0,1,2,2,2,0.35962304778387044
1,0,1,2,2,2,3.2500683506182733
2,0,1,2,2,2,0.3568228956220258
0,2,1,2,2,2,0.0898894136109043
1,2,1,2,2,2,0.8123693407103663
2,2,1,2,2,2,0.08918950286435838
0,1,1,2,2,2,0.5474744356156579
1,1,1,2,2,2,4.9477622386327385
2,1,1,2,2,2,0.5432116061504975
1,2,3,0,1,2,4.003919054151084
2,2,3,0,1,2,7.006662299104786
1,2,3,0,0,1,6.00575682933879
2,2,3,0,0,1,5.004842980026126
1,2,2,2,1,0,3.002982483525366
2,2,2,2,1,0,4.003919054151084
1,2,3,3,2,1,2.002028907713843
2,2,3,3,2,1,8.007561054921352
1,2,1,2,1,0,6.005756829277818
2,2,1,2,1,0,4.003919054151084
1,0,1,0,0,2,1.5689385238343527
3,0,1,0,0,2,1.9716321396678715
2,0,1,0,0,2,0.39387246765549605
1,2,1,0,0,2,0.39666229462419117
3,2,1,0,0,2,0.498472130548585
2,2,1,0,0,2,0.09957965492981717
1,3,1,0,0,2,1.9948730686909122
3,3,1,0,0,2,2.506889720048799
2,3,1,0,0,2,0.5008007428516287
0,0,1,2,2,1,0.624189380707742
1,0,1,2,2,1,4.347564374939194
0,1,1,2,2,1,0.38005358295454855
1,1,1,2,2,1,2.647125165679223
1,2,1,1,1,2,6.004447672646693
2,2,1,1,1,2,6.005755199236132
0,0,0,0,0,1,1.0010491453783124
1,0,0,0,0,1,8.00756050676651
1,2,0,3,0,0,4.003919054151084
2,2,0,3,0,0,5.004842980026126
0,0,3,1,0,1,2.0024962341315313
1,0,3,1,0,1,7.006662299104786
0,0,3,1,0,2,1.830178578003414
1,0,3,1,0,2,6.298916984025225
2,0,3,1,0,2,0.885805747652606
0,2,3,1,0,2,0.20078526446487172
1,2,3,1,0,2,0.6910416981601335
2,2,3,1,0,2,0.09717999294962798
1,2,1,1,0,2,0.35821260029430735
3,2,1,1,0,2,0.6359969663789585
1,1,1,1,0,2,1.0687171398251822
3,1,1,1,0,2,1.8974789225380992
1,3,1,1,0,2,2.520930511556394
3,3,1,1,0,2,4.475845228461389
1,2,0,3,1,2,3.0029824835254275
2,2,0,3,1,2,8.007560595366554
1,2,3,3,0,0,2.002028907713843
3,2,3,3,0,0,1.0010491453783124
2,2,3,3,0,0,7.006662299104786
1,2,2,1,1,2,5.004113855075033
2,2,2,1,1,2,5.004842954278486
1,2,2,2,1,1,4.003466237331006
2,2,2,2,1,1,5.004842980026024
1,2,2,1,0,2,0.3299346799248163
3,2,2,1,0,2,0.5547729515094576
2,2,2,1,0,2,0.11056988105304201
1,1,2,1,0,2,0.9845075802383282
3,1,2,1,0,2,1.65541305387088
2,1,2,1,0,2,0.3299346587863267
1,3,2,1,0,2,1.6554132230061946
3,3,2,1,0,2,2.783516058100366
2,3,2,1,0,2,0.5547729726476094
0,0,0,2,0,2,0.9233163087640652
1,0,0,2,0,2,9.085609821049621
0,2,0,2,0,2,0.09223418498809531
1,2,0,2,0,2,0.9076020958473953
1,2,3,3,1,1,2.002028907713843
2,2,3,3,1,1,6.0057568293554295
1,2,1,0,1,1,2.001757193023745
2,2,1,0,1,1,4.003919054150962
1,2,2,0,1,0,3.0029824835254275
2,2,2,0,1,0,5.004842980026126
0,0,0,0,0,2,1.8206621097978106
1,0,0,0,0,2,6.283917008160779
2,0,0,0,0,2,0.8837234563113681
0,2,0,0,0,2,0.20081490057801665
1,2,0,0,0,2,0.6931017910700916
2,2,0,0,0,2,0.09747269252356582
0,0,0,0,2,2,0.543881348374869
1,0,0,0,2,2,2.7284280750054455
3,0,0,0,2,2,0.5427756905970995
2,0,0,0,2,2,2.178771895354192
0,2,0,0,2,2,0.4510934349771242
1,2,0,0,2,2,2.2629494394684033
3,2,0,0,2,2,0.4501764059847281
2,2,0,0,2,2,1.807066378068785
0,0,0,1,0,1,1.0012871919654642
1,0,0,1,0,1,8.007560595349931
1,2,1,2,1,1,3.0017668818929195
2,2,1,2,1,1,7.006659868333765
1,2,2,1,2,0,3.0029824835254275
2,2,2,1,2,0,6.0057568293554295
1,2,3,1,1,0,4.003919054151084
2,2,3,1,1,0,8.007560595366554
0,0,2,0,0,2,1.8302261315037074
1,0,2,0,0,2,6.299027473610345
2,0,2,0,0,2,0.8858202901752883
0,2,2,0,0,2,0.20078682555982708
1,2,2,0,0,2,0.6910412373476688
2,2,2,0,0,2,0.09717981894108954
1,2,3,3,1,0,3.0029824835254275
2,2,3,3,1,0,6.0057568293554295
1,2,2,1,0,0,4.002423965038674
2,2,2,1,0,0,4.003917438774923
1,2,1,1,2,0,4.003919054151084
3,2,1,1,2,0,1.0010491453783121
2,2,1,1,2,0,5.004842980026126
1,2,0,0,1,1,4.00391895141206
2,2,0,0,1,1,4.003919054151084
0,0,3,2,0,2,0.9102834715031848
1,0,3,2,0,2,7.181652710904398
2,0,3,2,0,2,0.8837316990550599
0,2,3,2,0,2,0.10073310900091996
1,2,3,2,0,2,0.7947306833328063
2,2,3,2,0,2,0.09779485660821435
1,1,1,2,0,1,3.26343089338655
3,1,1,2,0,1,2.709697522202862
1,3,1,2,0,1,2.7096982601409816
3,3,1,2,0,1,2.2499212948866685
1,0,1,1,2,1,4.003919054134532
1,1,1,1,2,1,4.003919054151084
0,0,1,0,2,1,1.0010491453783124
1,0,1,0,2,1,7.006662299104786
1,2,3,3,0,2,4.0038546145533225
2,2,3,3,0,2,5.004842980026126
0,0,2,2,2,2,0.8869612291431918
1,0,2,2,2,2,6.11742051773404
0,2,2,2,2,2,0.12664583241693247
1,2,2,2,2,2,0.873483291328593
0,0,1,3,0,2,1.7783855927090786
1,0,1,3,0,2,4.374868919428965
2,0,1,3,0,2,0.8621493438673303
0,2,1,3,0,2,0.2507285392319972
1,2,1,3,0,2,0.6167978969223072
2,2,1,3,0,2,0.12155150518194877
1,2,0,1,1,1,7.006662299104778
2,2,0,1,1,1,3.0029824835254275
1,2,1,3,2,0,5.004842934420844
2,2,1,3,2,0,2.0020289099449973
1,0,2,2,0,2,1.4213471549456187
3,0,2,2,0,2,2.150136007168467
2,0,2,2,0,2,0.35733897210340004
1,2,2,2,0,2,0.36005399915146286
